Entry,Species,Instance,Nature,Item,Move 1,Move 2,Move 3,Move 4,Possible Ability,EVs (HP/Atk/Def/SpA/SpD/Spe),Level 100 stats,Lv 100 speed,Level 50 stats,Lv 50 Speed,Fixed IVs (Brains only)
262,Kabutops,1,Adamant,Scope Lens,Slash,Dig,Fury Cutter,Knock Off,Swift Swim / Battle Armor,255/255/ 0 / 0 / 0 / 0 ,324/361/246/149/176/196,196,167/183/125/76/90/100,100,
263,Poliwrath,1,Adamant,Black Belt,Submission,Dig,Rock Tomb,BubbleBeam,Water Absorb / Damp,255/255/ 0 / 0 / 0 / 0 ,384/295/226/158/216/176,176,197/150/115/81/110/90,90,
264,Scyther,1,Relaxed,Liechi Berry,Fury Cutter,Aerial Ace,Light Screen,Double Team,Swarm,255/255/ 0 / 0 / 0 / 0 ,344/319/215/146/196/221,221,177/162/110/75/100/112,112,
265,Pinsir,1,Naughty,Black Belt,Submission,Focus Energy,Swords Dance,Revenge,Hyper Cutter,255/255/ 0 / 0 / 0 / 0 ,334/383/236/146/158/206,206,172/194/120/75/81/105,105,
266,Politoed,1,Relaxed,Shell Bell,Dive,Dig,Hypnosis,Swagger,Water Absorb / Damp, 0 / 0 /255/ 0 /255/ 0 ,321/186/273/216/299/158,158,165/95/139/110/152/81,81,
267,Cloyster,1,Sassy,NeverMeltIce,Aurora Beam,Spike Cannon,Supersonic,Protect,Shell Armor,255/ 0 / 0 / 0 /255/ 0 ,304/226/396/206/207/158,158,157/115/200/105/106/81,81,
268,Delcatty,2,Modest,Quick Claw,Fake Tears,Sing,Thunderbolt,Ice Beam,Cute Charm, 0 / 0 / 0 /255/ 0 /255,281/149/166/229/146/239,239,145/76/85/117/75/122,122,
269,Sableye,2,Quirky,Lum Berry,Shadow Ball,Faint Attack,Confuse Ray,Recover,Keen Eye,170/170/ 0 /170/ 0 / 0 ,283/228/186/208/166/136,136,146/116/95/106/85/70,70,
270,Lickitung,2,Adamant,Cheri Berry,Earthquake,Body Slam,Shadow Ball,Rock Slide,Own Tempo / Oblivious, 0 /170/170/ 0 /170/ 0 ,321/206/228/140/228/96,96,165/106/116/72/116/50,50,
271,Weepinbell,2,Quirky,Scope Lens,Sludge Bomb,Razor Leaf,Sleep Powder,Reflect,Chlorophyll, 0 / 0 /255/ 0 /255/ 0 ,271/216/199/206/189/146,146,140/110/102/105/97/75,75,
272,Graveler,2,Adamant,Focus Band,Earthquake,Rock Slide,Brick Break,Counter,Rock Head / Sturdy,255/ 0 / 0 / 0 /255/ 0 ,314/248/266/113/189/106,106,162/127/135/58/97/55,55,
273,Gloom,2,Quirky,Pecha Berry,SolarBeam,Sunny Day,Sludge Bomb,Moonlight,Chlorophyll, 0 /255/ 0 /255/ 0 / 0 ,261/229/176/269/186/116,116,135/117/90/137/95/60,60,
274,Porygon,2,Quiet,Cheri Berry,Tri Attack,Psychic,Thunder Wave,Recover,Trace, 0 /255/ 0 /255/ 0 / 0 ,271/219/176/295/186/104,104,140/112/90/150/95/54,54,
275,Kadabra,2,Modest,TwistedSpoon,Psychic,Thunder Wave,Reflect,Recover,Synchronize / Inner Focus,255/ 0 /255/ 0 / 0 / 0 ,284/95/159/303/176/246,246,147/49/82/154/90/125,125,
276,Wailmer,2,Docile,Chesto Berry,Water Spout,Earthquake,Body Slam,Rest,Water Veil / Oblivious, 0 / 0 /255/ 0 /255/ 0 ,401/176/169/176/169/156,156,205/90/87/90/87/80,80,
277,Roselia,2,Docile,Quick Claw,Giga Drain,Sludge Bomb,GrassWhistle,Synthesis,Natural Cure / Poison Point,255/ 0 /255/ 0 / 0 / 0 ,304/156/189/236/196/166,166,157/80/97/120/100/85,85,
278,Volbeat,2,Quirky,Petaya Berry,Signal Beam,Thunderbolt,Ice Punch,Tail Glow,Illuminate / Swarm, 0 / 0 / 0 /255/ 0 /255,271/182/146/193/186/269,269,140/93/75/99/95/137,137,
279,Illumise,2,Quirky,Petaya Berry,Silver Wind,Thunderbolt,Ice Punch,Giga Drain,Oblivious, 0 / 0 / 0 /255/ 0 /255,271/130/146/245/186/269,269,140/67/75/125/95/137,137,
280,Ivysaur,2,Quirky,BrightPowder,Giga Drain,Sludge Bomb,Sleep Powder,Leech Seed,Overgrow, 0 /255/ 0 /255/ 0 / 0 ,261/223/162/259/196/156,156,135/114/83/132/100/80,80,
281,Charmeleon,2,Hardy,Scope Lens,Flamethrower,Slash,AncientPower,Dragon Rage,Blaze, 0 /255/ 0 / 0 / 0 /255,257/227/152/196/166/259,259,133/116/78/100/85/132,132,
282,Wartortle,2,Docile,Shell Bell,Surf,Ice Beam,Rapid Spin,Protect,Torrent,255/ 0 / 0 /255/ 0 / 0 ,322/162/196/229/196/152,152,166/83/100/117/100/78,78,
283,Parasect,2,Calm,Leftovers,Spore,Giga Drain,Dig,Double Team,Effect Spore,170/ 0 /170/ 0 /170/ 0 ,303/203/238/156/261/96,96,156/103/121/80/133/50,50,
284,Machoke,2,Adamant,Scope Lens,Cross Chop,Rock Slide,Foresight,Scary Face,Guts,255/255/ 0 / 0 / 0 / 0 ,364/328/176/122/156/126,126,187/167/90/63/80/65,65,
285,Haunter,2,Relaxed,Lum Berry,Psychic,Hypnosis,Nightmare,Confuse Ray,Levitate,170/ 0 /170/ 0 /170/ 0 ,273/136/184/266/188/203,203,141/70/95/135/96/103,103,
286,Bayleef,2,Docile,Chesto Berry,Giga Drain,Body Slam,GrassWhistle,Rest,Overgrow,170/ 0 /170/ 0 /170/ 0 ,303/160/238/162/238/156,156,156/82/121/83/121/80,80,
287,Quilava,2,Docile,BrightPowder,Flamethrower,Crush Claw,Body Slam,SmokeScreen,Blaze, 0 /255/ 0 /255/ 0 / 0 ,257/227/152/259/166/196,196,133/116/78/132/85/100,100,
288,Croconaw,2,Adamant,Focus Band,Mega Kick,Aerial Ace,Rock Slide,Dig,Torrent,255/255/ 0 / 0 / 0 / 0 ,334/284/196/138/162/152,152,172/145/100/71/83/78,78,
289,Togetic,2,Relaxed,Scope Lens,Return,Sweet Kiss,Aerial Ace,Yawn,Hustle / Serene Grace,255/ 0 /255/ 0 / 0 / 0 ,314/116/295/196/246/104,104,162/60/150/100/125/54,54,
290,Murkrow,2,Quirky,BrightPowder,Perish Song,Mean Look,Double Team,Thunder Wave,Insomnia,170/ 0 /170/ 0 /170/ 0 ,303/206/162/206/162/218,218,156/105/83/105/83/111,111,
291,Wobbuffet,2,Careful,Focus Band,Counter,Mirror Coat,Encore,Destiny Bond,Shadow Tag, 0 / 0 /255/ 0 /255/ 0 ,521/102/215/91/236/102,102,265/53/110/48/121/53,53,
292,Plusle,2,Docile,Petaya Berry,Thunderbolt,Thunder Wave,Seismic Toss,Wish,Plus, 0 / 0 / 0 /255/ 0 /255,261/136/116/269/186/289,289,135/70/60/137/95/147,147,
293,Minun,2,Docile,Salac Berry,Thunderbolt,Attract,Charm,Wish,Minus, 0 / 0 / 0 /255/ 0 /255,261/116/136/249/206/289,289,135/60/70/127/105/147,147,
294,Grovyle,2,Docile,Lum Berry,Giga Drain,Crush Claw,Screech,Rock Tomb,Overgrow, 0 /255/ 0 / 0 / 0 /255,241/229/126/206/166/289,289,125/117/65/105/85/147,147,
295,Combusken,2,Docile,Scope Lens,Flamethrower,Sky Uppercut,Slash,Sand-Attack,Blaze, 0 /170/ 0 /170/ 0 /170,261/248/156/248/156/188,188,135/126/80/126/80/96,96,
296,Marshtomp,2,Docile,Focus Band,Muddy Water,Earthquake,Mud-Slap,Protect,Torrent, 0 /255/ 0 /255/ 0 / 0 ,281/269/176/219/176/136,136,145/137/90/112/90/70,70,
297,Ponyta,2,Quirky,Sitrus Berry,Flamethrower,Body Slam,Double Kick,Double Team,Run Away / Flash Fire, 0 / 0 / 0 /255/ 0 /255,241/206/146/229/166/279,279,125/105/75/117/85/142,142,
298,Azumarill,2,Adamant,Shell Bell,Mega Kick,Brick Break,Iron Tail,Dig,Thick Fat / Huge Power,255/ 0 / 0 / 0 /255/ 0 ,404/149/196/122/259/136,136,207/77/100/63/132/70,70,
299,Sudowoodo,2,Hardy,Focus Band,Mega Kick,Earthquake,Low Kick,Selfdestruct,Sturdy / Rock Head,255/ 0 / 0 / 0 /255/ 0 ,344/236/266/96/229/96,96,177/120/135/50/117/50,50,
300,Magcargo,2,Quiet,Quick Claw,Overheat,Earthquake,Rock Slide,Body Slam,Magma Armor / Flame Body,255/ 0 / 0 / 0 /255/ 0 ,304/136/276/215/259/86,86,157/70/140/110/132/45,45,
301,Pupitar,2,Hardy,Scope Lens,Earthquake,Rock Slide,Crunch,Scary Face,Shed Skin,255/255/ 0 / 0 / 0 / 0 ,344/267/176/166/176/138,138,177/136/90/85/90/71,71,
302,Sealeo,2,Quiet,Sitrus Berry,Ice Beam,Surf,Body Slam,Hail,Thick Fat,255/ 0 / 0 /255/ 0 / 0 ,384/156/176/273/176/113,113,197/80/90/139/90/58,58,
303,Raticate,2,Adamant,Focus Band,Super Fang,Hyper Fang,Shadow Ball,Scary Face,Run Away / Guts, 0 /255/ 0 / 0 / 0 /255,251/287/156/122/176/293,293,130/146/80/63/90/149,149,
304,Masquerain,2,Quiet,Lax Incense,Hydro Pump,Ice Beam,Giga Drain,Stun Spore,Intimidate, 0 / 0 /255/255/ 0 / 0 ,281/156/223/284/200/140,140,145/80/114/145/102/72,72,
305,Furret,2,Adamant,Choice Band,Trick,Frustration,Shadow Ball,Follow Me,Run Away / Keen Eye, 0 /255/ 0 / 0 / 0 /255,311/276/164/113/146/279,279,160/140/84/58/75/142,142,
306,Dunsparce,2,Quiet,Lax Incense,Ice Beam,Rock Tomb,Bite,Shadow Ball,Serene Grace / Run Away, 0 / 0 /255/ 0 /255/ 0 ,341/176/239/182/229/113,113,175/90/122/94/117/58,58,
307,Dragonair,2,Adamant,Chesto Berry,Return,Rest,Thunder Wave,Dragon Dance,Shed Skin,255/ 0 / 0 / 0 /255/ 0 ,326/224/166/158/239/176,176,168/114/85/81/122/90,90,
308,Mightyena,2,Quirky,King's Rock,Crunch,Shadow Ball,Frustration,Scary Face,Intimidate, 0 / 0 /255/255/ 0 / 0 ,281/216/239/219/156/176,176,145/110/122/112/80/90,90,
532,Aerodactyl,2,Adamant,Choice Band,Hyper Beam,Earthquake,Aerial Ace,AncientPower,Rock Head / Pressure,170/170/ 0 / 0 / 0 /170,343/316/166/140/186/338,338,176/161/85/72/95/171,171,
310,Castform,2,Modest,Lax Incense,Thunderbolt,Flamethrower,Ice Beam,Water Pulse,Forecast,255/ 0 / 0 /255/ 0 / 0 ,344/158/176/262/176/176,176,177/81/90/134/90/90,90,
311,Shelgon,2,Hardy,Focus Band,Frustration,Dragon Dance,Crunch,Scary Face,Rock Head,255/ 0 / 0 / 0 /255/ 0 ,334/226/236/156/199/136,136,172/115/120/80/102/70,70,
312,Metang,2,Quirky,Focus Band,Meteor Mash,Psychic,Body Slam,Scary Face,Clear Body,255/ 0 / 0 /255/ 0 / 0 ,324/186/236/209/196/136,136,167/95/120/107/100/70,70,
313,Wigglytuff,2,Docile,Sitrus Berry,Fake Tears,Sing,Dream Eater,Brick Break,Cute Charm, 0 / 0 /255/ 0 /255/ 0 ,421/176/189/186/199/126,126,215/90/97/95/102/65,65,
314,Sunflora,2,Quiet,Leftovers,Giga Drain,GrassWhistle,Growth,Double Team,Chlorophyll,255/ 0 /255/ 0 / 0 / 0 ,354/186/209/270/206/86,86,182/95/107/138/105/45,45,
315,Chimecho,2,Quiet,TwistedSpoon,Psychic,Hypnosis,Dream Eater,Heal Bell,Levitate,170/ 0 /170/ 0 /170/ 0 ,313/136/218/248/238/149,149,161/70/111/127/121/76,76,
316,Gligar,2,Adamant,Quick Claw,Earthquake,Aerial Ace,Guillotine,Screech,Hyper Cutter / Sand Veil,255/ 0 / 0 / 0 /255/ 0 ,334/204/246/95/229/206,206,172/105/125/49/117/105,105,
317,Qwilfish,2,Adamant,Focus Band,Revenge,Sludge Bomb,Shadow Ball,Destiny Bond,Poison Point / Swift Swim,255/ 0 / 0 / 0 /255/ 0 ,334/248/186/131/209/206,206,172/127/95/67/107/105,105,
650,Crobat,3,Adamant,Scope Lens,Air Cutter,Double-Edge,Shadow Ball,Screech,Inner Focus, 0 /255/ 0 / 0 / 0 /255,311/306/196/158/196/359,359,160/156/100/81/100/182,182,
319,Pelipper,2,Quiet,Shell Bell,Surf,Blizzard,Aerial Ace,Protect,Keen Eye,255/ 0 / 0 / 0 /255/ 0 ,324/136/236/226/239/149,149,167/70/120/116/122/76,76,
320,Swellow,2,Adamant,King's Rock,Facade,Aerial Ace,Pursuit,Double Team,Guts,255/ 0 / 0 / 0 /255/ 0 ,324/226/156/122/199/286,286,167/116/80/63/102/145,145,
321,Lairon,2,Sassy,Sitrus Berry,Earthquake,Iron Tail,Roar,Protect,Sturdy / Rock Head,255/ 0 / 0 / 0 /255/ 0 ,324/216/316/136/218/104,104,167/110/160/70/112/54,54,
322,Tangela,2,Calm,Chesto Berry,Giga Drain,Stun Spore,Rest,Amnesia,Chlorophyll,255/ 0 / 0 / 0 /255/ 0 ,334/131/266/236/196/156,156,172/67/135/120/101/80,80,
323,Arbok,2,Adamant,Lum Berry,Sludge Bomb,Earthquake,Iron Tail,Glare,Intimidate / Shed Skin,255/ 0 /255/ 0 / 0 / 0 ,324/226/237/149/194/196,196,167/116/121/76/99/100,100,
324,Persian,2,Quirky,Silk Scarf,Frustration,Shadow Ball,Roar,Fake Out,Limber,170/ 0 /170/ 0 /170/ 0 ,313/176/198/166/208/266,266,161/90/101/85/106/135,135,
325,Seadra,2,Docile,Shell Bell,Hydro Pump,Frustration,DragonBreath,Dragon Dance,Poison Point,255/ 0 / 0 / 0 /255/ 0 ,314/166/226/226/189/206,206,162/85/115/115/97/105,105,
326,Kecleon,2,Docile,Choice Band,Trick,Brick Break,Shadow Ball,Skill Swap,Color Change,255/ 0 /255/ 0 / 0 / 0 ,324/216/239/156/276/116,116,167/110/122/80/140/60,60,
327,Vigoroth,2,Adamant,Salac Berry,Crush Claw,Reversal,Endure,Shadow Ball,Vital Spirit, 0 /255/ 0 / 0 /255/ 0 ,301/284/196/131/209/216,216,155/145/100/67/107/110,110,
328,Lunatone,2,Quiet,Lax Incense,Psychic,Ice Beam,Cosmic Power,Calm Mind,Levitate,255/ 0 /255/ 0 / 0 / 0 ,344/146/229/248/206/158,158,177/75/117/127/105/81,81,
329,Solrock,2,Hardy,White Herb,Earthquake,Rock Slide,Cosmic Power,Overheat,Levitate,255/ 0 / 0 / 0 /255/ 0 ,344/226/206/146/229/176,176,177/115/105/75/117/90,90,
330,Noctowl,2,Quiet,Persim Berry,Psychic,Faint Attack,Aerial Ace,Reflect,Insomnia / Keen Eye, 0 / 0 /255/255/ 0 / 0 ,341/136/199/276/228/158,158,175/70/102/140/116/81,81,
331,Sandslash,2,Adamant,Quick Claw,Earthquake,Rock Slide,Crush Claw,Sandstorm,Sand Veil,255/ 0 / 0 / 0 /255/ 0 ,354/259/256/113/209/166,166,182/132/130/58/107/85,85,
332,Venomoth,2,Docile,Lum Berry,Signal Beam,Psychic,Sludge Bomb,Giga Drain,Shield Dust,255/ 0 / 0 / 0 / 0 /255,344/166/156/216/186/279,279,177/85/80/110/95/142,142,
333,Chansey,2,Relaxed,Leftovers,Seismic Toss,Shadow Ball,Double Team,Softboiled,Natural Cure / Serene Grace, 0 / 0 /255/ 0 /255/ 0 ,641/46/119/106/309/122,122,325/25/62/55/157/63,63,
334,Seaking,2,Impish,Quick Claw,Horn Drill,Megahorn,Sleep Talk,Rest,Swift Swim / Water Veil,170/ 0 /170/ 0 /170/ 0 ,343/220/228/149/238/172,172,176/112/117/76/121/88,88,
335,Jumpluff,2,Bold,Leftovers,Leech Seed,Sleep Powder,Giga Drain,Double Team,Chlorophyll, 0 / 0 /255/ 0 /255/ 0 ,291/131/262/146/269/256,256,150/67/134/75/137/130,130,
336,Piloswine,2,Adamant,Shell Bell,Earthquake,Rock Slide,Body Slam,Roar,Oblivious, 0 / 0 /255/ 0 /255/ 0 ,341/259/259/140/219/136,136,175/132/132/72/112/70,70,
337,Golbat,2,Adamant,Scope Lens,Sludge Bomb,Shadow Ball,Confuse Ray,Air Cutter,Inner Focus,255/255/ 0 / 0 / 0 / 0 ,354/284/176/149/186/216,216,182/145/90/76/95/110,110,
338,Primeape,2,Quirky,Scope Lens,Cross Chop,Rock Tomb,Overheat,Bulk Up,Vital Spirit,170/ 0 /170/ 0 /170/ 0 ,313/246/198/156/218/226,226,161/125/101/80/111/115,115,
339,Hitmonlee,2,Adamant,Lax Incense,Mega Kick,Brick Break,Foresight,Rock Tomb,Limber,255/ 0 /255/ 0 / 0 / 0 ,304/303/205/95/256/210,210,157/154/105/49/130/107,107,
340,Hitmonchan,2,Adamant,King's Rock,DynamicPunch,Mach Punch,Detect,Counter,Keen Eye,255/ 0 /255/ 0 / 0 / 0 ,304/270/257/95/256/188,188,157/138/131/49/130/96,96,
341,Girafarig,2,Modest,Lum Berry,Psychic,Crunch,Baton Pass,Agility,Inner Focus / Early Bird, 0 / 0 /255/ 0 /255/ 0 ,281/176/229/237/229/206,206,145/90/117/121/117/105,105,
342,Hitmontop,2,Adamant,Focus Band,Double-Edge,Seismic Toss,Rock Slide,Counter,Intimidate,255/ 0 /255/ 0 / 0 / 0 ,304/248/289/95/256/176,176,157/127/147/49/130/90,90,
343,Banette,2,Adamant,Lax Incense,Shadow Ball,Frustration,Screech,Will-O-Wisp,Insomnia, 0 / 0 /255/ 0 /255/ 0 ,269/292/229/181/225/166,166,139/149/117/93/115/85,85,
746,Crobat,4,Adamant,BrightPowder,Sludge Bomb,Aerial Ace,Shadow Ball,Confuse Ray,Inner Focus, 0 /255/ 0 / 0 / 0 /255,311/306/196/158/196/359,359,160/156/100/81/100/182,182,
345,Seviper,2,Quirky,Quick Claw,Sludge Bomb,Earthquake,Crunch,Giga Drain,Shed Skin,170/ 0 /170/ 0 /170/ 0 ,329/236/198/236/198/166,166,169/120/101/120/101/85,85,
346,Zangoose,2,Adamant,Scope Lens,Crush Claw,Shadow Ball,Brick Break,Aerial Ace,Immunity, 0 /255/ 0 / 0 / 0 /255,287/361/156/140/156/279,279,148/183/80/72/80/142,142,
347,Camerupt,2,Quirky,Lax Incense,Earthquake,Eruption,Body Slam,Scary Face,Magma Armor, 0 /255/ 0 /255/ 0 / 0 ,281/299/176/309/186/116,116,145/152/90/157/95/60,60,
348,Sharpedo,2,Quirky,Scope Lens,Double-Edge,Crunch,Earthquake,Surf,Rough Skin, 0 /170/ 0 /170/ 0 /170,281/318/116/268/116/268,268,145/161/60/136/60/136,136,
349,Tropius,2,Quiet,Focus Band,SolarBeam,Sunny Day,Synthesis,Body Slam,Chlorophyll, 0 /255/ 0 /255/ 0 / 0 ,339/235/202/267/210/124,124,174/120/103/136/107/64,64,
350,Magneton,2,Hardy,Lum Berry,Thunder,Rain Dance,Thunder Wave,Metal Sound,Magnet Pull / Sturdy,255/ 0 / 0 / 0 /255/ 0 ,304/156/226/276/239/176,176,157/80/115/140/122/90,90,
351,Mantine,2,Modest,Shell Bell,Surf,Ice Beam,Rain Dance,Confuse Ray,Swift Swim / Water Absorb,255/ 0 /255/ 0 / 0 / 0 ,334/104/239/215/316/176,176,172/54/122/110/160/90,90,
352,Stantler,2,Adamant,Lax Incense,Frustration,Shadow Ball,Thunder Wave,Confuse Ray,Intimidate, 0 /255/ 0 / 0 / 0 /255,287/317/160/185/166/269,269,148/161/82/94/85/137,137,
353,Absol,2,Adamant,Choice Band,Double-Edge,Shadow Ball,Aerial Ace,Iron Tail,Pressure, 0 /255/ 0 / 0 / 0 /255,271/394/156/167/156/249,249,140/200/80/85/80/127,127,
354,Swalot,2,Adamant,Leftovers,Sludge Bomb,Shadow Ball,Body Slam,Counter,Liquid Ooze / Sticky Hold,255/255/ 0 / 0 / 0 / 0 ,404/269/202/163/202/146,146,207/137/103/84/103/75,75,
355,Crawdaunt,2,Adamant,Quick Claw,Guillotine,Frustration,AncientPower,Aerial Ace,Hyper Cutter / Shell Armor,255/ 0 / 0 / 0 /255/ 0 ,330/303/206/194/209/146,146,170/154/105/99/107/75,75,
356,Pidgeot,2,Adamant,Scope Lens,Return,Aerial Ace,Steel Wing,Mud-Slap,Keen Eye, 0 /255/ 0 / 0 / 0 /255,307/284/186/158/176/281,281,158/145/95/81/90/143,143,
357,Grumpig,2,Modest,Lum Berry,Psychic,Ice Punch,ThunderPunch,Fire Punch,Thick Fat / Own Tempo, 0 / 0 /255/255/ 0 / 0 ,301/113/229/306/256/196,196,155/58/117/156/130/100,100,
358,Torkoal,2,Sassy,White Herb,Overheat,Body Slam,SmokeScreen,Protect,White Smoke,255/ 0 / 0 / 0 /255/ 0 ,344/206/316/206/262/68,68,177/105/160/105/134/36,36,
359,Kingler,2,Adamant,Salac Berry,Guillotine,Rock Tomb,Flail,Endure,Hyper Cutter / Shell Armor,255/ 0 / 0 / 0 /255/ 0 ,314/325/266/122/199/186,186,162/165/135/63/102/95,95,
360,Cacturne,2,Hardy,Persim Berry,Mega Kick,Teeter Dance,Faint Attack,Sandstorm,Sand Veil, 0 / 0 /255/ 0 /255/ 0 ,281/266/219/266/219/146,146,145/135/112/135/112/75,75,
361,Bellossom,2,Modest,BrightPowder,SolarBeam,Attract,Sunny Day,Synthesis,Chlorophyll, 0 / 0 /255/255/ 0 / 0 ,291/176/269/306/236/136,136,150/90/137/156/120/70,70,
362,Octillery,2,Quirky,Lax Incense,Octazooka,Fire Blast,Thunder Wave,Mud-Slap,Suction Cups,170/ 0 /170/ 0 /170/ 0 ,333/246/228/246/228/126,126,171/125/116/125/116/65,65,
363,Huntail,2,Quiet,Shell Bell,Surf,Rain Dance,Crunch,Body Slam,Swift Swim,255/ 0 / 0 / 0 /255/ 0 ,314/244/246/246/249/126,126,162/124/125/125/127/65,65,
364,Gorebyss,2,Quiet,Shell Bell,Surf,Rain Dance,Psychic,Body Slam,Swift Swim,255/ 0 / 0 / 0 /255/ 0 ,314/204/246/290/249/126,126,162/104/125/147/127/65,65,
365,Relicanth,2,Sassy,Chesto Berry,Earthquake,Rock Slide,Amnesia,Rest,Swift Swim / Rock Head,255/ 0 / 0 / 0 /255/ 0 ,404/216/296/126/251/131,131,207/110/150/65/128/67,67,
366,Omastar,2,Modest,Sitrus Berry,Hydro Pump,Rain Dance,Ice Beam,Protect,Swift Swim / Shell Armor,255/ 0 / 0 / 0 /255/ 0 ,344/140/286/292/239/146,146,177/72/145/149/122/75,75,
367,Kabutops,2,Adamant,Salac Berry,Slash,Rock Slide,Flail,Endure,Swift Swim / Battle Armor, 0 /255/ 0 / 0 /255/ 0 ,261/361/246/149/239/196,196,135/183/125/76/122/100,100,
368,Poliwrath,2,Adamant,Chesto Berry,Brick Break,Hypnosis,Rest,Belly Drum,Water Absorb / Damp,255/255/ 0 / 0 / 0 / 0 ,384/295/226/158/216/176,176,197/150/115/81/110/90,90,
369,Scyther,2,Adamant,BrightPowder,Silver Wind,Aerial Ace,Swords Dance,Double Team,Swarm, 0 /255/ 0 / 0 / 0 /255,281/350/196/131/196/309,309,145/178/100/67/100/157,157,
370,Pinsir,2,Jolly,Salac Berry,Guillotine,Swords Dance,Flail,Endure,Hyper Cutter,255/ 0 / 0 / 0 / 0 /255,334/286/236/131/176/295,295,172/145/120/67/90/150,150,
371,Politoed,2,Modest,Lax Incense,Surf,Psychic,Mud-Slap,Swagger,Water Absorb / Damp, 0 / 0 /255/255/ 0 / 0 ,321/167/249/306/236/176,176,165/85/127/156/120/90,90,
372,Cloyster,2,Careful,Leftovers,Dive,Toxic,Double Team,Protect,Shell Armor,255/ 0 / 0 / 0 /255/ 0 ,304/226/396/185/207/176,176,157/115/200/94/106/90,90,
373,Dugtrio,1,Adamant,Soft Sand,Earthquake,Tri Attack,Slash,Sand Tomb,Sand Veil / Arena Trap, 0 /255/ 0 / 0 / 0 /255,211/284/136/122/176/339,339,110/145/70/63/90/172,172,
374,Medicham,1,Docile,Focus Band,Psychic,Hi Jump Kick,Calm Mind,Baton Pass,Pure Power, 0 /255/ 0 / 0 / 0 /255,261/219/186/156/186/259,259,135/112/95/80/95/132,132,
375,Misdreavus,1,Impish,Focus Band,Pain Split,Shadow Ball,Confuse Ray,Thunder Wave,Levitate,255/ 0 /255/ 0 / 0 / 0 ,324/156/240/185/206/206,206,167/80/123/94/105/105,105,
376,Fearow,1,Adamant,Sharp Beak,Drill Peck,Tri Attack,Facade,Mud-Slap,Keen Eye, 0 /255/ 0 / 0 / 0 /255,271/306/166/142/158/299,299,140/156/85/73/81/152,152,
377,Granbull,1,Adamant,Cheri Berry,Mega Kick,SmellingSalt,Thunder Wave,Roar,Intimidate,255/255/ 0 / 0 / 0 / 0 ,384/372/186/140/156/126,126,197/189/95/72/80/65,65,
378,Jynx,1,Modest,Shell Bell,Ice Beam,Fake Out,Lovely Kiss,Attract,Oblivious,255/ 0 / 0 /255/ 0 / 0 ,334/122/106/361/226/226,226,172/63/55/183/115/115,115,
379,Dusclops,1,Impish,Leftovers,Will-O-Wisp,Seismic Toss,Pain Split,Confuse Ray,Pressure,170/ 0 /170/ 0 /170/ 0 ,263/176/371/140/338/86,86,136/90/188/72/171/45,45,
380,Dodrio,1,Adamant,Chesto Berry,Drill Peck,Tri Attack,Sleep Talk,Rest,Run Away / Early Bird, 0 /255/ 0 / 0 / 0 /255,261/350/176/140/156/299,299,135/178/90/72/80/152,152,
381,Mr. Mime,1,Relaxed,Leftovers,Psychic,Magical Leaf,Fake Out,Reflect,Soundproof,255/ 0 /255/ 0 / 0 / 0 ,284/126/251/236/276/194,194,147/65/128/120/140/99,99,
382,Lanturn,1,Quiet,Cheri Berry,Surf,Confuse Ray,Attract,Thunder Wave,Volt Absorb / Illuminate, 0 / 0 /255/255/ 0 / 0 ,391/152/215/276/188/153,153,200/78/110/140/96/78,78,
383,Breloom,1,Jolly,King's Rock,Sky Uppercut,Mach Punch,Headbutt,Counter,Effect Spore, 0 /255/ 0 / 0 / 0 /255,261/359/196/140/156/262,262,135/182/100/72/80/134,134,
384,Forretress,1,Adamant,Focus Band,Double-Edge,Rock Slide,Light Screen,Spikes,Sturdy, 0 /255/ 0 / 0 /255/ 0 ,291/306/316/140/219/116,116,150/156/160/72/112/60,60,
385,Whiscash,1,Adamant,Chesto Berry,Earthquake,Rock Slide,Amnesia,Rest,Oblivious,255/255/ 0 / 0 / 0 / 0 ,424/280/182/169/178/156,156,217/143/93/86/91/80,80,
386,Xatu,1,Hardy,Sharp Beak,Drill Peck,Night Shade,Wish,Future Sight,Synchronize / Early Bird,170/170/ 0 /170/ 0 / 0 ,313/228/176/268/176/226,226,161/116/90/136/90/115,115,
387,Skarmory,1,Adamant,Scope Lens,Steel Wing,Air Cutter,Counter,Agility,Keen Eye / Sturdy,170/170/ 0 / 0 /170/ 0 ,313/261/316/104/218/176,176,161/133/160/54/111/90,90,
388,Marowak,1,Adamant,Thick Club,Bonemerang,Rock Slide,Icy Wind,Headbutt,Rock Head / Lightningrod,255/255/ 0 / 0 / 0 / 0 ,324/284/256/122/196/126,126,167/145/130/63/100/65,65,
389,Quagsire,1,Adamant,Focus Band,Earthquake,Brick Break,Counter,Mud-Slap,Damp / Water Absorb, 0 /255/ 0 / 0 /255/ 0 ,331/295/206/149/229/106,106,170/150/105/76/117/55,55,
390,Clefable,1,Brave,Leftovers,Metronome,Double Team,Reflect,Follow Me,Cute Charm, 0 / 0 /255/ 0 /255/ 0 ,331/193/245/206/279/140,140,170/99/125/105/142/72,72,
391,Hariyama,1,Adamant,Focus Band,Cross Chop,Rock Slide,Counter,Fake Out,Thick Fat / Guts,170/ 0 /170/ 0 /170/ 0 ,471/303/198/104/198/136,136,240/154/101/54/101/70,70,
